testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,duration,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"321",101,160,"Building",1,27.8590484144,28.7765687751,-83.1920659198,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,205,"Building",1,26.0969946416,37.018767846,-89.2236914221,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,167,"Building",1,23.1016394277,24.4784397593,-90.1255853951,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,145,"Building",2,28.0508562441,35.899050609,-90.2124976828,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,146,"Building",0,9.42472360737,32.3956255105,-90.9719350707,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,181,"Building",2,25.9957380122,37.1919604126,-91.8858739287,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,125,"Building",1,28.0346166835,43.2672430536,-92.0,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,163,"Building",2,28.2012726619,22.9166535704,-92.0,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,149,"Building",0,9.58002374392,41.0512763804,-93.9793787268,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,161,"Building",1,8.01889153388,26.7331959193,-95.0,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,195,"Building",2,28.2514109496,43.2173130662,-95.0,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,196,"Building",0,7.67759649968,37.6355936285,-95.0,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,201,"Building",1,22.8197192182,15.8821826423,-96.0,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"321",101,182,"Building",1,27.9288969593,51.3350420929,-96.6936525217,10,"Building",0,22.9716988027,27.5439314627,0,28.035434032955944,29.93192332658346,5.598564068054308,0
"322",101,181,"Building",2,25.9957380122,37.1919604126,-61.3301170619,10,"Building",2,27.9523336706,29.2320727314,2,25.71356822083403,34.39067350240632,5.623453801152177,0
"322",101,156,"Building",2,24.3411640007,31.8285761878,-66.6618963512,10,"Building",2,27.9523336706,29.2320727314,2,25.71356822083403,34.39067350240632,5.623453801152177,0
"322",101,145,"Building",2,28.0508562441,35.899050609,-68.0157929833,10,"Building",2,27.9523336706,29.2320727314,2,25.71356822083403,34.39067350240632,5.623453801152177,0
"322",101,148,"Building",2,28.2520373136,15.4843176138,-68.7961003677,10,"Building",2,27.9523336706,29.2320727314,2,25.71356822083403,34.39067350240632,5.623453801152177,0
"322",101,163,"Building",2,28.2012726619,22.9166535704,-70.4656890911,10,"Building",2,27.9523336706,29.2320727314,2,25.71356822083403,34.39067350240632,5.623453801152177,0
"322",101,160,"Building",1,27.8590484144,28.7765687751,-70.7211342761,10,"Building",2,27.9523336706,29.2320727314,2,25.71356822083403,34.39067350240632,5.623453801152177,0
